year,artist,title,rating,votes,album_length,tracks,avg_song_length,subgenre,style,city,state,population
2008,Take That,The Circus,2.91,32,51.08,14,3.65,indie,Pop Rock,Manchester,Greater Manchester,547627
1978,XTC,Go 2,3.0,64,40.62,12,3.38,punk,Punk,Swindon,Wiltshire,192599
1976,10cc,How Dare You!,3.61,28,42.2,9,4.69,indie,Pop Rock,Stockport,Greater Manchester,105878
1998,Deep Purple,Abandon,2.69,192,56.0,12,4.67,metal,Hard Rock,London,Greater London,8825001
1983,Spandau Ballet,True,3.54,39,35.6,8,4.45,indie,Pop Rock,Islington,England,206125
2006,Pure Reason Revolution,The Dark Third,4.07,234,55.52,9,6.17,indie,Pop Rock,London,Greater London,8825001
2001,Pendragon,Not of This World,4.07,35,30.25,8,3.78,classic,Prog Rock,Stroud,Gloucestershire,32670
1976,Electric Light Orchestra,A New World Record,4.2,300,36.25,9,4.03,classic,Classic Rock,Birmingham,West Midlands,1137100
1978,Kate Bush,The Kick Inside,4.05,635,42.35,13,3.26,indie,Pop Rock,Bexleyheath,England,31929
2009,Dragged Into Sunlight,Hatred For Mankind,4.16,406,51.17,6,8.53,metal,Black Metal,Liverpool,Liverpool City Region,513441
