country,city,origin,origin_clean,latitude,longitude,address
Australia,Brisbane,"Brisbane, Queensland, Australia","Brisbane, Queensland, Australia",-27.4689682,153.0234991,"City of Brisbane, Queensland, Australia"
Canada,St Catharines,"St. Catharines, Ontario, Canada","St Catharines, Ontario, Canada",43.1579812,-79.2441003,"St. Catharines, Niagara Region, Golden Horseshoe, Ontario, Canada"
Canada,Vancouver,"Vancouver, British Columbia, Canada","Vancouver, British Columbia, Canada",49.2608724,-123.113952,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada"
Deutschland,Berlin,"Berlin, Germany","Berlin, Germany",52.510885,13.3989367,"Berlin, Pankow, Deutschland"
Suomi / Finland,Espoo,"Espoo, Finland","Espoo, Finland",60.2049651,24.6559808,"Espoo, Helsingin seutukunta, Uusimaa, Manner-Suomi, Suomi / Finland"
United Kingdom,Abingdon,"Abingdon, Oxfordshire, England","Abingdon, Oxfordshire, England",51.6714842,-1.2779715,"Abingdon, Vale of White Horse, Oxfordshire, England, OX14 3UJ, United Kingdom"
United Kingdom,Birmingham,"Birmingham, England","Birmingham, England",52.4796992,-1.9026911,"Birmingham, West Midlands, England, United Kingdom"
United Kingdom,Crawley,"Crawley, England","Crawley, England",51.1103444,-0.1801094,"Crawley, West Sussex, England, United Kingdom"
United Kingdom,London,"London, England","London, England",51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom"
United Kingdom,Pontypridd,"Pontypridd, Wales","Pontypridd, Wales",51.6001047,-3.3449362,"Pontypridd, Rhondda Cynon Taf, Cymru / Wales, United Kingdom"
United Kingdom,Suffolk,"Suffolk, England","Suffolk, England",52.241001350000005,1.0465716091328372,"Suffolk, England, United Kingdom"
United Kingdom,Teignmouth,"Teignmouth, Devon, England","Teignmouth, Devon, England",50.5463385,-3.4957798,"Teignmouth, Teignbridge, Devon, England, United Kingdom"
United States,Amherst,"Amherst, Massachusetts, U.S.","Amherst, Massachusetts, US",42.3731948,-72.5198761,"Amherst, Hampshire County, Massachusetts, United States"
United States,Ann Arbor,"Ann Arbor, Michigan, U.S.","Ann Arbor, Michigan, US",42.2813722,-83.7484616,"Ann Arbor, Washtenaw County, Michigan, United States"
United States,Austin,"Austin, Texas, U.S.","Austin, Texas, US",30.2711286,-97.7436995,"Austin, Travis County, Texas, United States"
United States,Bridgeport,"Bridgeport, Connecticut, U.S.","Bridgeport, Connecticut, US",41.1792695,-73.1887863,"Bridgeport, Connecticut, United States"
United States,Cleveland,"Cleveland, Ohio, U.S.","Cleveland, Ohio, US",41.4996574,-81.6936772,"Cleveland, Cuyahoga County, Ohio, United States"
United States,Coral Springs,"Coral Springs, Florida, U.S.","Coral Springs, Florida, US",26.271192,-80.2706044,"Coral Springs, Broward County, Florida, United States"
United States,Dallas,"Dallas, Texas, United States","Dallas, Texas, United States",32.7762719,-96.7968559,"Dallas, Dallas County, Texas, United States"
United States,El Paso,"El Paso, Texas","El Paso, Texas",31.7601164,-106.4870404,"El Paso, El Paso County, Texas, United States"
United States,Evanston,"Evanston, Illinois, U.S.","Evanston, Illinois, US",42.0470043,-87.6846053,"Evanston, Evanston Township, Cook County, Illinois, United States"
United States,Gainesville,"Gainesville, Florida, U.S.","Gainesville, Florida, US",29.6519684,-82.3249846,"Gainesville, Alachua County, Florida, United States"
United States,Garden Grove,"Garden Grove, California, U.S.[2]","Garden Grove, California, US",33.7746292,-117.9463717,"Garden Grove, Orange County, California, United States"
United States,Glendale,"Glendale, California, U.S.","Glendale, California, US",34.1469416,-118.2478471,"Glendale, Los Angeles County, California, United States"
United States,Irvine,"Irvine, California, U.S.","Irvine, California, US",33.6856969,-117.825981,"Irvine, Orange County, California, United States"
United States,Los Angeles,"Los Angeles, California, United States[1]","Los Angeles, California, United States",34.0536909,-118.242766,"Los Angeles, Los Angeles County, California, United States"
United States,Los Angeles,"Los Angeles, California, U.S.","Los Angeles, California, US",34.0536909,-118.242766,"Los Angeles, Los Angeles County, California, United States"
United States,Mesa,"Mesa, Arizona, U.S.","Mesa, Arizona, US",33.4151005,-111.831455,"Mesa, Maricopa County, Arizona, United States"
United States,Montesano,"Montesano, Washington, U.S.","Montesano, Washington, US",46.9812063,-123.602662,"Montesano, Grays Harbor County, Washington, United States"
United States,New Brunswick,"New Brunswick, New Jersey, U.S.","New Brunswick, New Jersey, US",40.4951365,-74.4439254,"New Brunswick, Middlesex County, New Jersey, United States"
United States,New York City,"New York City, New York, U.S.","New York City, New York, US",40.7127281,-74.0060152,"City of New York, New York, United States"
United States,New York City,"New York City, U.S.","New York City, US",40.7127281,-74.0060152,"City of New York, New York, United States"
United States,Nyack,"Nyack, New York, U.S.","Nyack, New York, US",41.091121,-73.9196794,"Village of Nyack, Town of Orangetown, Rockland County, New York, 10960, United States"
United States,Rock Hill,"Rock Hill, South Carolina, U.S.","Rock Hill, South Carolina, US",34.9248667,-81.0250784,"Rock Hill, York County, South Carolina, United States"
United States,Sacramento,"Sacramento, California, U.S.","Sacramento, California, US",38.5810606,-121.493895,"Sacramento, Sacramento County, California, United States"
United States,San Diego,"San Diego, California, U.S.","San Diego, California, US",32.7174202,-117.162772,"San Diego, San Diego County, California, United States"
United States,Seattle,"Seattle, Washington, U.S.","Seattle, Washington, US",47.6038321,-122.330062,"Seattle, King County, Washington, United States"
United States,Temecula,"Temecula, California, Estados Unidos","Temecula, California, Estados Unidos",33.4946353,-117.147366,"Temecula, Riverside County, California, United States"
United States,Ukiah,"Ukiah, California, U.S.","Ukiah, California, US",39.1501662,-123.2077861,"Ukiah, Mendocino County, California, 95482, United States"
United States,Westbury,"Westbury, New York, U.S.","Westbury, New York, US",40.7556561,-73.5876273,"Village of Westbury, Town of North Hempstead, Nassau County, New York, United States"
Éire / Ireland,Celbridge,"Celbridge, Ireland","Celbridge, Ireland",53.3383004,-6.5396223,"Celbridge, The Municipal District of Celbridge — Leixlip, County Kildare, Leinster, Éire / Ireland"
Éire / Ireland,Dublin,"Dublin, Ireland","Dublin, Ireland",53.3493795,-6.2605593,"Dublin, County Dublin, Leinster, Éire / Ireland"
