master_id,styles
3540907,['Pop Rock']
3527840,['Alternative Rock']
3471745,"['Dream Pop', 'Indie Pop', 'Lo-Fi']"
3470389,['Prog Rock']
3469978,['Pop Punk']
3229465,"['Alternative Rock', 'Art Rock', 'Dream Pop']"
3192072,['Grunge']
3064604,"['Alternative Rock', 'Space Rock']"
3050531,"['Alternative Rock', 'Indie Rock', 'Grunge', 'Alt-Pop']"
3011258,"['Post-Hardcore', 'Pop Punk']"
2801024,"['Alternative Rock', 'Post-Punk']"
2753789,['Pop Rock']
2582873,"['Prog Rock', 'Synth-pop', 'Alternative Rock', 'Pop Rock']"
2581832,"['Death Metal', 'Grindcore']"
2459566,['Pop Rock']
2374546,"['Alternative Rock', 'Indie Rock', 'Pop Rock']"
2338834,['Alternative Rock']
2329366,['Indie Rock']
2286442,['Hard Rock']
2282830,['Alternative Rock']
2255800,['Alternative Rock']
2254126,"['Pop Rock', 'Folk Rock']"
2178874,['Alternative Rock']
2171842,"['Goth Rock', 'Post-Punk', 'Alternative Rock']"
2148292,['Indie Rock']
2106202,"['Alternative Rock', 'Indie Rock']"
2043562,"['Rock & Roll', 'Punk']"
2007316,['Alternative Rock']
1988218,"['Folk Rock', 'Neofolk']"
1905441,"['Indie Rock', 'Country', 'Folk Rock']"
1863099,['Ska']
1840269,['Alternative Rock']
1787970,['Alternative Rock']
1760531,['Post-Punk']
1720219,"['Indie Pop', 'Dance-pop', 'Nu Metal']"
1697831,['Alternative Rock']
1670320,['Indie Rock']
1629309,['Symphonic Rock']
1601626,['Pop Rock']
1590007,"['Alternative Rock', 'Indie Rock']"
1559422,"['Alternative Rock', 'Indie Rock']"
1542039,['Indie Rock']
1539061,"['Indie Rock', 'Gospel']"
1535969,"['Alternative Rock', 'Indie Rock', 'Psychedelic Rock']"
1531317,"['Acoustic', 'Folk Rock', 'Indie Rock']"
1507068,['Alternative Rock']
1441419,['Indie Rock']
1436861,['Alternative Rock']
1436517,['Metalcore']
1434147,"['Alternative Rock', 'Pop Rock']"
1433078,['Indie Rock']
1432821,['Alternative Rock']
1428760,"['Prog Rock', 'Alternative Rock', 'Indie Rock']"
1421514,"['Alternative Rock', 'Post-Hardcore']"
1399084,"['Post Rock', 'Post-Hardcore', 'Math Rock']"
1399042,['Pop Punk']
1389286,['Emo']
1380852,['Alternative Rock']
1377471,"['Prog Rock', 'Psychedelic Rock']"
1339356,"['Pop Punk', 'Punk', 'Alternative Rock']"
1328043,['Alternative Rock']
1326522,['Pop Rock']
1311945,['Alternative Rock']
1308306,['Indie Pop']
1306376,"['Pop Rock', 'Math Rock']"
1296136,"['Progressive Metal', 'Math Rock', 'Hardcore']"
1258238,['Alternative Rock']
1236847,['Indie Rock']
1236297,"['Alternative Rock', 'Conscious']"
1193408,"['Indie Rock', 'Folk Rock']"
1189173,['Pop Rock']
1181424,"['Psychedelic Rock', 'Indie Rock']"
1175912,['Soul']
1153704,['Alternative Rock']
1149509,['Indie Rock']
1149430,['Indie Rock']
1141349,['Indie Rock']
1140486,['Alternative Rock']
1138921,['Indie Rock']
1136279,['Alternative Rock']
1123651,"['Acoustic', 'Alternative Rock', 'Folk Rock', 'Indie Rock', 'Slowcore']"
1123643,['Indie Rock']
1112500,['Alternative Rock']
1092306,"['Hard Rock', 'Alternative Rock', 'Indie Rock', 'Grunge']"
1085604,"['Emo', 'Indie Rock']"
1085140,['Indie Rock']
1081788,['Indie Rock']
1071250,['Glam']
1070133,['Punk']
1065693,['Progressive Metal']
1058310,['Alternative Rock']
1055725,"['Indie Pop', 'Indie Rock']"
1029199,"['Folk Rock', 'Punk', 'Emo']"
1020455,['Alternative Rock']
1019229,['Hard Rock']
994504,['Post-Punk']
989566,['Punk']
984226,"['Black Metal', 'Avantgarde', 'Progressive Metal']"
983399,['Indie Rock']
979279,"['Alternative Rock', 'Prog Rock', 'Psychedelic Rock', 'Space Rock']"
977498,['Post-Punk']
976898,"['Rock & Roll', 'Folk Rock', 'Soul']"
973103,['Alternative Rock']
967341,"['Folk Rock', 'Indie Rock']"
950987,['Abstract']
945846,['Indie Rock']
910041,['Nu Metal']
905068,['Alternative Rock']
903038,"['Industrial', 'Punk']"
897370,['Alternative Rock']
887290,['Hard Rock']
886623,['Pop Rock']
873202,['Indie Rock']
870411,"['Alternative Rock', 'Hard Rock']"
869793,['Alternative Rock']
864459,['Indie Rock']
861144,['Folk Rock']
853786,"['Stoner Rock', 'Post-Hardcore']"
843179,"['Indie Rock', 'Folk Rock']"
840304,"['Alternative Rock', 'Indie Rock', 'Prog Rock']"
840267,"['Indie Rock', 'Post-Punk']"
836626,['Alternative Rock']
831108,"['Post Rock', 'Math Rock']"
818599,['Metalcore']
808858,['Soft Rock']
806069,['Indie Rock']
790949,['Hardcore']
751034,"['Experimental', 'Indie Rock']"
750272,['Alternative Rock']
735111,"['Alternative Rock', 'Folk Rock']"
725187,"['Garage Rock', 'Psychedelic Rock']"
711385,"['Hardcore', 'Post Rock']"
703518,"['Indie Rock', 'Pop Rock', 'Rhythm & Blues']"
687999,"['Alternative Rock', 'Pop Punk']"
677349,['Indie Rock']
647640,"['Alternative Rock', 'Punk']"
613383,"['Prog Rock', 'Art Rock', 'Experimental']"
605718,['Prog Rock']
569957,"['Indie Rock', 'Lo-Fi']"
539248,['Classic Rock']
531505,"['Hard Rock', 'New Age', 'Prog Rock']"
506527,"['Indie Rock', 'Folk Rock', 'Lo-Fi']"
502983,"['Alternative Rock', 'Indie Rock', 'Experimental']"
502981,"['Power Pop', 'Indie Rock']"
486576,['Pop Rock']
483851,['Indie Rock']
470888,['Pop Punk']
467549,['Alternative Rock']
451208,['Alternative Rock']
411183,['Indie Rock']
399990,['Lo-Fi']
390710,"['Pop Punk', 'Power Pop', 'Pop Rock']"
388860,['Indie Rock']
378293,"['Acoustic', 'Alternative Rock']"
355415,"['Alternative Rock', 'Country Rock']"
355393,"['Alternative Rock', 'Pop Rock']"
350507,"['Alternative Rock', 'Acoustic', 'Pop Rock']"
331547,"['Hard Rock', 'Heavy Metal']"
300897,['Blues Rock']
296602,"['Glam', 'Nu Metal', 'Punk', 'Heavy Metal']"
292999,['Rock & Roll']
290565,"['Punk', 'Pop Rock', 'Indie Rock']"
285860,"['Psychedelic Rock', 'Avantgarde']"
281818,['Indie Rock']
261474,['Indie Rock']
254252,"['Blues Rock', 'Hard Rock', 'Fusion']"
249553,"['Acoustic', 'Experimental']"
244396,"['Industrial', 'Avantgarde', 'Experimental', 'Heavy Metal']"
238238,['Pop Rock']
227806,['Alternative Rock']
227359,"['Art Rock', 'Indie Rock']"
221263,"['Folk Rock', 'Acoustic', 'Folk']"
215108,"['Blues Rock', 'Classic Rock']"
211739,"['Alternative Rock', 'Garage Rock', 'Blues Rock', 'Conscious']"
211718,"['Alternative Rock', 'Indie Rock']"
209185,['Pop Rock']
201745,['Country Rock']
199532,"['Alternative Rock', 'Indie Rock']"
199435,['Fusion']
187186,"['Garage Rock', 'Hardcore', 'Punk']"
166876,"['Soft Rock', 'Pop Rock']"
154109,"['Alternative Rock', 'Indie Rock']"
150559,"['Folk Rock', 'Acoustic', 'Country Rock']"
149903,['Ballad']
149135,['Pop Rock']
126441,"['Alternative Rock', 'Hard Rock', 'Heavy Metal']"
125100,"['Acoustic', 'Parody']"
119409,['Classic Rock']
117731,['Alternative Rock']
114316,['Alternative Rock']
107209,['Alternative Rock']
101390,['Soft Rock']
85129,"['Blues Rock', 'Pop Rock']"
84808,"['Psychedelic Rock', 'Indie Rock']"
81377,['Acoustic']
81089,"['Soft Rock', 'Pop Rock', 'Vocal']"
74973,['Pop Rock']
68457,['Classic Rock']
53880,['Alternative Rock']
52959,['Classic Rock']
52768,"['Blues Rock', 'Classic Rock']"
44398,['Classic Rock']
44385,['Classic Rock']
44304,['Alternative Rock']
38841,['Pop Rock']
38691,"['Folk Rock', 'Acoustic']"
37544,['Indie Rock']
36220,"['Folk Rock', 'Blues Rock']"
30254,['Classic Rock']
27951,['Folk Rock']
20565,"['Post Rock', 'Indie Rock']"
14043,['Blues Rock']
11771,"['Pop Rock', 'Classic Rock']"
